id,episode_id,viewing_date,created_at,updated_at
2b88f612-ee01-4c22-849d-9fa10e0e82c3,3a7cbb73-0a63-4562-b9cc-1c00da2c0a7f,1/28/2012,1/28/2012,1/28/2012
c8036eb1-72a5-4c45-b2c4-a182d750cb00,c3c7e298-760f-40af-82d3-a2c4c336a820,12/17/2011,12/17/2011,12/17/2011
b1448ac0-ccbe-4532-b5be-a4d057ff53a6,5983e8ae-618f-4bf3-b7e6-be2190251ead,2/20/2012,2/20/2012,2/20/2012
819a339f-16f1-44c0-9fd3-a727873e4f47,a7134da6-844b-48ec-9362-a6aaf38f6d5b,12/5/2011,1/28/2012,1/28/2012
cee3747f-ad8e-44ec-a3b8-a85df1cf4e93,d6e25d19-be9d-4330-86d4-059a6a5992b7,11/20/2011,11/20/2011,11/20/2011
61e44a24-9609-4ea8-8ee4-aa6d3fed46f4,43dd60ec-d503-42ca-b7fd-d6c49d2ca4fd,1/10/2012,1/10/2012,1/10/2012
746faa75-252e-42e8-81d4-b0a2cf89629e,a477439b-0239-4128-8343-dfacd6093141,1/24/2012,1/28/2012,1/28/2012
18598996-b4bf-4101-bbee-b18e6e66b31e,decb7adc-30ef-4cc3-b635-339b7e2da8f3,1/2/2012,1/2/2012,1/2/2012
d8f55074-8a17-4b04-83a0-b769b43d7e28,198cf390-bade-4576-8830-581c82c49b51,11/13/2011,11/16/2011,11/16/2011
d765945a-579c-4861-a9cf-bb443870a921,a42e92d5-0a27-4c7b-8eb6-e13280e2fb29,11/16/2011,11/16/2011,11/16/2011
cadb296f-99be-4556-9c2a-bb505bfd47a4,3719d862-52be-4331-b6d5-be3c0077bf1e,12/12/2011,12/12/2011,12/12/2011
562857ca-4873-4b2f-90ec-c037e91dd269,060ff650-7440-421a-9a39-24a23f8b96bc,2/2/2012,2/3/2012,2/3/2012
5e5b976d-5e46-435b-a251-c171140bbf41,bcc9df5b-a5e0-4105-9510-a890ec1e2b25,12/19/2011,12/19/2011,12/19/2011
